Description A,Judge A,Description B,Judge B,Answer,Chapter,Book,Version
Most of the force generated by activated sarcomeres is transmitted laterally through non-contractile proteins.,True,Most of the force generated by activated sarcomeres is transmitted vertically through non-contractile proteins.,False,Description A,285,PrincipleNeuralScience,1.0
Strain energy stored in the elastic elements of muscle and tendon can be released during the shortening phase.,True,Strain energy stored in the elastic elements of muscle and tendon is absorbed during the shortening phase.,False,Description A,285,PrincipleNeuralScience,1.0
Motor units tend to be activated in a stereotypical order highly correlated with motor neuron size.,True,"Motor units tend to be activated randomly, with no correlation to motor neuron size.",False,Description A,285,PrincipleNeuralScience,1.0
The large end bulbs form synapses on bushy cells; smaller boutons contact stellate and octopus cells.,True,The large end bulbs form synapses on stellate cells; smaller boutons contact bushy and octopus cells.,False,Description A,286,PrincipleNeuralScience,1.0
"In the dorsal cochlear nucleus, the cell bodies of fusiform and granule cells are intermixed between the outermost molecular layer and the deep layer.",True,"In the dorsal cochlear nucleus, the cell bodies of bushy and stellate cells are intermixed between the outermost molecular layer and the deep layer.",False,Description A,286,PrincipleNeuralScience,1.0
Repetitive firing in bushy and octopus cells is prevented by low-voltage-activated conductances.,True,Repetitive firing in stellate and fusiform cells is prevented by low-voltage-activated conductances.,False,Description A,286,PrincipleNeuralScience,1.0
The rise and fall of voltage changes in stellate and fusiform cells is slower than in bushy and octopus cells.,True,The rise and fall of voltage changes in bushy and octopus cells is slower than in stellate and fusiform cells.,False,Description A,286,PrincipleNeuralScience,1.0
The brief synaptic potentials in bushy and octopus cells require larger synaptic currents but encode the timing of auditory nerve inputs more faithfully.,True,The brief synaptic potentials in bushy cells require smaller synaptic currents but encode the timing of auditory nerve inputs less faithfully.,False,Description A,286,PrincipleNeuralScience,1.0
The neurons of the medial superior olive form a representation of interaural phase along the rostrocaudal and lateromedial dimensions.,True,The neurons of the medial superior olive form a representation of interaural phase along the dorsoventral and anterior-posterior dimensions.,False,Description A,286,PrincipleNeuralScience,1.0
"Each bushy, stellate, and fusiform cell receives input from a few auditory nerve fibers and is sharply tuned.",True,"Each bushy, stellate, and octopus cell receives input from many auditory nerve fibers and is broadly tuned.",False,Description A,286,PrincipleNeuralScience,1.0
The large axons of globular bushy cells and the large calyceal terminals of Held allow for short and consistently timed delays.,True,The small axons of globular bushy cells and the small calyceal terminals of Held allow for long and inconsistently timed delays.,False,Description A,286,PrincipleNeuralScience,1.0
The medial superior olive receives coincident excitatory inputs from the two ears only when sounds come from the contralateral half of space.,True,The medial superior olive receives coincident excitatory inputs from the two ears when sounds come from the ipsilateral half of space.,False,Description A,286,PrincipleNeuralScience,1.0
Inhibition superimposed on these excitatory inputs plays a significant role in sharpening the map of interaural phase.,True,Excitation superimposed on these inhibitory inputs plays a significant role in sharpening the map of interaural intensity.,False,Description A,286,PrincipleNeuralScience,1.0
The brain receives information about interaural time differences with every cycle of an ongoing sound.,True,The brain receives information about interaural time differences only at the beginning and end of a sound.,False,Description A,286,PrincipleNeuralScience,1.0
Principal cells of the medial superior olive also receive sharply timed inhibition driven by sounds from both the ipsilateral and contralateral sides.,True,Principal cells of the medial superior olive receive sharply timed excitation driven by sounds only from the ipsilateral side.,False,Description A,286,PrincipleNeuralScience,1.0
The lateral superior olive detects interaural intensity differences.,True,The lateral superior olive detects interaural frequency differences.,False,Description A,286,PrincipleNeuralScience,1.0
The pathway that brings ipsilateral inhibition through the lateral nucleus of the trapezoid body is less well understood.,True,The pathway that brings contralateral excitation through the lateral nucleus of the trapezoid body is well understood.,False,Description A,286,PrincipleNeuralScience,1.0
Each medial superior olive forms a map of the location of sound sources in the contralateral hemifield.,True,Each medial superior olive forms a map of the location of sound sources in the ipsilateral hemifield.,False,Description A,286,PrincipleNeuralScience,1.0
The maturation of the field of psychiatric genetics and genomics over the past decade has revealed the frailty of testing pre-specified candidate genes.,True,The maturation of the field of psychiatric genetics and genomics over the past year has confirmed the robustness of testing pre-specified candidate genes.,False,Description A,287,PrincipleNeuralScience,1.0
A striking finding from recent advances in the genetics of human behavior has been the overlap of genetic risks for syndromes with distinct symptoms.,True,A striking finding from recent advances in the genetics of human behavior has been the distinct separation of genetic risks for syndromes with similar symptoms.,False,Description A,287,PrincipleNeuralScience,1.0
Findings across common psychiatric disorders point to extremely high rates of genetic heterogeneity.,True,Findings across common psychiatric disorders suggest uniform genetic profiles with low rates of genetic heterogeneity.,False,Description A,287,PrincipleNeuralScience,1.0
Copy number variations are observed in some neurological and psychiatric disorders.,True,Copy number variations are not observed in any neurological and psychiatric disorders.,False,Description A,287,PrincipleNeuralScience,1.0
Conservation of genes can be detected by measuring the similarity of the sequences at the base or amino acid level.,True,Conservation of genes can only be detected in fossil records not in the sequence similarity at the base or amino acid level.,False,Description A,287,PrincipleNeuralScience,1.0
"Eukaryotes have cells with a complex internal structure, including a nucleus.",True,Eukaryotes are single-celled organisms with a simple internal structure that lacks a nucleus.,False,Description A,287,PrincipleNeuralScience,1.0
Introns are spliced from the RNA before the product is made.,True,Introns are crucial for protein synthesis and are integrated into the final product.,False,Description A,287,PrincipleNeuralScience,1.0
Recombination has the effect of making the chromosomes of the offspring distinct from those of the parents.,True,Recombination has no effect on the distinctness of chromosomes between offspring and parents.,False,Description A,287,PrincipleNeuralScience,1.0
Spliced RNAs destined to become templates for protein synthesis are known as mRNAs.,True,Spliced RNAs destined to become templates for cellular waste products are known as mRNAs.,False,Description A,287,PrincipleNeuralScience,1.0
Mutation is an alteration in a genome compared to some reference state.,True,Mutation refers accurately to a perfect replication of a genome with no alterations.,False,Description A,287,PrincipleNeuralScience,1.0
"Animals, plants, and fungi are all eukaryotes.",True,"Animals, plants, and fungi are all prokaryotes.",False,Description A,287,PrincipleNeuralScience,1.0
Centromere is where sister chromatids are joined.,True,Centromere is the region where different chromosomes are completely separated.,False,Description A,287,PrincipleNeuralScience,1.0
"Proteins are not synthesized directly from genomic DNA; instead, an RNA template is constructed.",True,Proteins are synthesized directly from genomic DNA without any intermediate RNA template.,False,Description A,287,PrincipleNeuralScience,1.0
A deletion or duplication of a limited genetic region results in copy number variation.,True,A deletion or duplication of a limited genetic region occurs without any resulting copy number variation.,False,Description A,287,PrincipleNeuralScience,1.0
Conservation can be detected by measuring the similarity of two sequences at the base or amino acid level.,True,Conservation cannot be detected by sequence similarity measurement at the base or amino acid level.,False,Description A,287,PrincipleNeuralScience,1.0
The thalamus relays sensory information from the periphery to the cerebral cortex.,True,The thalamus relays sensory information from the cerebral cortex to the periphery.,False,Description A,288,PrincipleNeuralScience,1.0
"The basal ganglia comprise the caudate nucleus, putamen, globus pallidus, substantia nigra, and subthalamic nucleus.",True,"The basal ganglia comprise the thalamus, putamen, globus pallidus, substantia nigra, and subthalamic nucleus.",False,Description A,288,PrincipleNeuralScience,1.0
The corpus callosum contains a large bundle of axons connecting the two hemispheres.,True,The cingulate gyrus contains a large bundle of axons connecting the two hemispheres.,False,Description A,288,PrincipleNeuralScience,1.0
The primary somatosensory cortex occupies the gyrus immediately caudal to the central sulcus.,True,The primary motor cortex occupies the gyrus immediately caudal to the central sulcus.,False,Description A,288,PrincipleNeuralScience,1.0
The primary visual cortex occupies the calcarine sulcus.,True,The primary visual cortex occupies the central sulcus.,False,Description A,288,PrincipleNeuralScience,1.0
The amygdala and hippocampus are regions of the cerebral cortex buried within the temporal lobe.,True,The amygdala and thalamus are regions of the cerebral cortex buried within the temporal lobe.,False,Description A,288,PrincipleNeuralScience,1.0
The ventricles contain and produce the cerebrospinal fluid.,True,The ventricles fill and circulate blood throughout the brain.,False,Description A,288,PrincipleNeuralScience,1.0
The central sulcus separates the frontal and parietal lobes.,True,The central sulcus separates the frontal and occipital lobes.,False,Description A,288,PrincipleNeuralScience,1.0
The lateral sulcus separates the frontal from the temporal lobes.,True,The lateral sulcus separates the frontal from the parietal lobes.,False,Description A,288,PrincipleNeuralScience,1.0
The primary motor cortex occupies the gyrus immediately rostral to the central sulcus.,True,The primary somatosensory cortex occupies the gyrus immediately rostral to the central sulcus.,False,Description A,288,PrincipleNeuralScience,1.0
The corpus callosum contains a large bundle of axons connecting the two hemispheres.,True,The hypothalamus contains a large bundle of axons connecting the two hemispheres.,False,Description A,288,PrincipleNeuralScience,1.0
The four major lobes of the cerebrum are named for the parts of the cranium that cover them.,True,The four major lobes of the cerebrum are named for the nerves that innervate them.,False,Description A,288,PrincipleNeuralScience,1.0
Figure 1–5 shows the main cortical and subcortical regions can be imaged in the brain of a living individual.,True,Figure 1–5 shows the main cortical and subcortical regions of a fossilized brain.,False,Description A,288,PrincipleNeuralScience,1.0
The midbrain is part of the brain stem.,True,The cerebellum is part of the brain stem.,False,Description A,288,PrincipleNeuralScience,1.0
The spinal cord is the most caudal region of the central nervous system.,True,The cerebrum is the most caudal region of the central nervous system.,False,Description A,288,PrincipleNeuralScience,1.0
Most corticospinal tract axons originating in one hemisphere cross to the other side of the midline at the pyramid in the caudal medulla.,True,Most corticospinal tract axons originating in one hemisphere remain on the same side at the pyramid in the caudal medulla.,False,Description A,289,PrincipleNeuralScience,1.0
The pyramidal tract originates in cortical layer V in a number of precentral and parietal areas.,True,The pyramidal tract originates in cortical layer IV in a number of precentral and parietal areas.,False,Description A,289,PrincipleNeuralScience,1.0
The pre-SMA and pre-PMd do not send axons directly to the spinal cord.,True,The pre-SMA and pre-PMd directly send axons to the spinal cord.,False,Description A,289,PrincipleNeuralScience,1.0
Corticomotoneuronal cells are M1 neurons with direct monosynaptic projections to spinal motor neurons.,True,Corticomotoneuronal cells are M1 neurons with multisynaptic projections to spinal motor neurons.,False,Description A,289,PrincipleNeuralScience,1.0
Voluntary arm movements require coordination with neural circuits responsible for the control of posture and balance.,True,Voluntary arm movements do not require coordination with neural circuits responsible for the control of posture and balance.,False,Description A,289,PrincipleNeuralScience,1.0
"In instructed-delay motor tasks, a delayed stimulus signals when to make the movement.",True,"In instructed-delay motor tasks, the movement must be made immediately when the target is visible.",False,Description A,289,PrincipleNeuralScience,1.0
The reticulospinal tract projects to the spinal cord via descending projections from cortical motor areas.,True,The reticulospinal tract projects directly to muscles via descending projections from sensory areas.,False,Description A,289,PrincipleNeuralScience,1.0
Areas PF and PFG correspond roughly to Brodmann’s area 7b.,True,Areas PF and PFG correspond roughly to Brodmann’s area 6a.,False,Description A,289,PrincipleNeuralScience,1.0
A small portion of corticospinal tract axons do not decussate and form the ventral corticospinal tract.,True,All corticospinal tract axons decussate and none form the ventral corticospinal tract.,False,Description A,289,PrincipleNeuralScience,1.0
"In primates, many corticospinal axons from M1 terminate directly on spinal alpha motor neurons.",True,"In primates, no corticospinal axons from M1 terminate directly on spinal alpha motor neurons.",False,Description A,289,PrincipleNeuralScience,1.0
Most or all planning stages in reaction-time tasks are accomplished in less than 300 ms.,True,Planning stages in reaction-time tasks usually take longer than 500 ms.,False,Description A,289,PrincipleNeuralScience,1.0
Neurons in movement-related cortical areas signal information about an intended motor act during an instructed-delay period.,True,Neurons in movement-related cortical areas do not signal information about an intended motor act during an instructed-delay period.,False,Description A,289,PrincipleNeuralScience,1.0
The lateral corticospinal tract is formed by axons that cross at the pyramid in the caudal medulla.,True,The lateral corticospinal tract is formed by axons that do not cross at the pyramid in the caudal medulla.,False,Description A,289,PrincipleNeuralScience,1.0
"In monkeys, corticospinal axons from premotor cortical areas terminate on interneurons in the spinal intermediate zone.",True,"In monkeys, corticospinal axons from premotor cortical areas terminate directly on spinal motor neurons.",False,Description A,289,PrincipleNeuralScience,1.0
"Corticospinal fibers originate in both motor and premotor cortex for movements of the leg, trunk, and other somatotopic parts.",True,Corticospinal fibers originate only in the primary motor cortex for movements of the leg and trunk.,False,Description A,289,PrincipleNeuralScience,1.0
A presynaptic dense body or synaptic ribbon lies in the cytoplasm adjacent to the release site.,True,A presynaptic dense body or synaptic ribbon lies adjacent to the postsynaptic density.,False,Description A,290,PrincipleNeuralScience,1.0
Outer hair cells receive inputs from neurons in the brainstem in the form of large boutons on their basolateral surfaces.,True,Outer hair cells receive inputs solely from the cochlear nerve in the form of large boutons on their basolateral surfaces.,False,Description A,290,PrincipleNeuralScience,1.0
"Approximately 30,000 ganglion cells innervate the hair cells of each inner ear.",True,"Approximately 3,000 ganglion cells innervate the hair cells of each inner ear.",False,Description A,290,PrincipleNeuralScience,1.0
Nonmammalian ears are limited in response to frequencies lower than about 12 to 14 kHz.,True,Nonmammalian ears are limited in response to frequencies higher than about 12 to 14 kHz.,False,Description A,290,PrincipleNeuralScience,1.0
"A Hopf bifurcation must be driven by an active process, whereby the system mobilizes internal resources of energy to power spontaneous movements.",True,A Hopf bifurcation can occur passively without mobilizing internal resources of energy.,False,Description A,290,PrincipleNeuralScience,1.0
Birds evolved two groups of sensory hair cells that have a division of labor similar to that of mammalian inner and outer hair cells.,True,Birds evolved a single group of sensory hair cells that perform the same function as mammalian hair cells.,False,Description A,290,PrincipleNeuralScience,1.0
Sound amplification associated with active hair-bundle motility was already present in the very first hair cells that evolved.,True,Sound amplification associated with active hair-bundle motility developed only in mammals.,False,Description A,290,PrincipleNeuralScience,1.0
Inner hair cells must be able to release neurotransmitter reliably in response to a threshold receptor potential of only 100 μV or so.,True,Inner hair cells require a receptor potential of at least 200 μV to release neurotransmitter reliably.,False,Description A,290,PrincipleNeuralScience,1.0
Active process turns down in outer hair cells by hyperpolarization.,True,Active process is enhanced in outer hair cells by hyperpolarization.,False,Description A,290,PrincipleNeuralScience,1.0
The characteristic frequency fC corresponds to the frequency of spontaneous oscillation at the critical point.,True,The characteristic frequency fC is irrelevant to the spontaneous oscillation frequency at the critical point.,False,Description A,290,PrincipleNeuralScience,1.0
The presynaptic ribbon is surrounded by clear synaptic vesicles that are attached by tenuous filaments.,True,The presynaptic ribbon is surrounded by dense synaptic vesicles that are attached by rigid filaments.,False,Description A,290,PrincipleNeuralScience,1.0
Electrical resonance contributes to frequency tuning in the ears of many nonmammalian species.,True,Electrical resonance does not contribute to frequency tuning in the ears of nonmammalian species.,False,Description A,290,PrincipleNeuralScience,1.0
Alternate splicing of mRNA encoding cochlear K+ channels tunes the characteristic frequency of resonance along the tonotopic axis.,True,Alternate splicing of mRNA encoding cochlear Na+ channels tunes the characteristic frequency of resonance along the tonotopic axis.,False,Description A,290,PrincipleNeuralScience,1.0
The upper frequency limit of hearing is generally higher in mammals.,True,The upper frequency limit of hearing is generally lower in mammals.,False,Description A,290,PrincipleNeuralScience,1.0
"Amphibians, reptiles, and birds acquired their good hearing systems largely independently.",True,"Amphibians, reptiles, and birds acquired their good hearing systems collectively from a common ancestor.",False,Description A,290,PrincipleNeuralScience,1.0
"The voltage clamp permits the experimenter to 'clamp' the membrane potential at predetermined levels, preventing changes in membrane current from influencing the membrane potential.",True,"The voltage clamp permits the experimenter to 'clamp' the membrane potential to variable levels, allowing changes in membrane current to influence the membrane potential.",False,Description A,291,PrincipleNeuralScience,1.0
"Depolarization opens voltage-gated Na+ and K+ channels, initiating movement of Na+ and K+ across the membrane.",True,"Depolarization closes voltage-gated Na+ and K+ channels, preventing movement of Na+ and K+ across the membrane.",False,Description A,291,PrincipleNeuralScience,1.0
The voltage clamp is able to pass the correct amount of current across the cell membrane to rapidly step the membrane to a constant predetermined potential.,True,The voltage clamp is unable to pass the correct amount of current across the cell membrane to rapidly step the membrane to a constant predetermined potential.,False,Description A,291,PrincipleNeuralScience,1.0
"Today, most voltage-clamp experiments use a patch-clamp amplifier.",True,"Today, most voltage-clamp experiments use a patch-pipette amplifier.",False,Description A,291,PrincipleNeuralScience,1.0
Hodgkin and Huxley explained that the Na+ and K+ currents vary as a graded function of the membrane potential.,True,Hodgkin and Huxley explained that the Na+ and K+ currents are constant irrespective of the membrane potential.,False,Description A,291,PrincipleNeuralScience,1.0
Both Na+ and K+ currents initially increase in amplitude as the membrane is made more positive.,True,Both Na+ and K+ currents initially decrease in amplitude as the membrane is made more positive.,False,Description A,291,PrincipleNeuralScience,1.0
The voltage on the output of the amplifier (Vo) is proportional to current flowing through the electrode and through the membrane.,True,The voltage on the output of the amplifier (Vo) is inversely proportional to current flowing through the electrode and through the membrane.,False,Description A,291,PrincipleNeuralScience,1.0
Whole-cell patch clamp recording allows voltage-clamp measurements in small cell bodies of neurons.,True,Whole-cell patch clamp recording prevents voltage-clamp measurements in small cell bodies of neurons.,False,Description A,291,PrincipleNeuralScience,1.0
"When the membrane potential is +55 mV, the Na+ current is zero.",True,"When the membrane potential is +55 mV, the Na+ current is maximum.",False,Description A,291,PrincipleNeuralScience,1.0
"As the voltage becomes more and more positive, the Na+ current eventually declines in amplitude.",True,"As the voltage becomes more and more positive, the Na+ current continues to increase in amplitude.",False,Description A,291,PrincipleNeuralScience,1.0
The negative feedback system reduces any difference between the command signal and the output signal.,True,The negative feedback system increases any difference between the command signal and the output signal.,False,Description A,291,PrincipleNeuralScience,1.0
IK can be measured when the Na+ channels are blocked by tetrodotoxin.,True,IK can be measured when the Na+ channels are opened by tetrodotoxin.,False,Description A,291,PrincipleNeuralScience,1.0
"As the membrane voltage is made more positive, the outward K+ current becomes larger.",True,"As the membrane voltage is made more positive, the outward K+ current becomes smaller.",False,Description A,291,PrincipleNeuralScience,1.0
The patch-clamp technique allows the functional properties of single ion channels to be analyzed.,True,The patch-clamp technique prevents the functional properties of single ion channels from being analyzed.,False,Description A,291,PrincipleNeuralScience,1.0
The feedback amplifier subtracts the membrane potential from the command potential and amplifies any difference between these two signals.,True,The feedback amplifier adds the membrane potential to the command potential and amplifies any similarity between these two signals.,False,Description A,291,PrincipleNeuralScience,1.0
"The Basal Ganglia Network consists of three principal input nuclei, two main output nuclei, and one intrinsic nucleus.",True,"The Basal Ganglia Network consists of three principal output nuclei, two main input nuclei, and one intrinsic nucleus.",False,Description A,292,PrincipleNeuralScience,1.0
Parkinson Disease can be viewed in part as a failure to select sensorimotor options.,True,Parkinson Disease can be viewed in part as a failure to select cognitive options.,False,Description A,292,PrincipleNeuralScience,1.0
Huntington Disease may reflect a functional imbalance between the direct and indirect pathways.,True,Huntington Disease may reflect a balanced function between the direct and indirect pathways.,False,Description A,292,PrincipleNeuralScience,1.0
The Substantia Nigra Pars Reticulata and the Internal Globus Pallidus are the two principal output nuclei of the Basal Ganglia.,True,The Substantia Nigra Pars Reticulata and the Internal Globus Pallidus are the two principal input nuclei of the Basal Ganglia.,False,Description A,292,PrincipleNeuralScience,1.0
All vertebrates face the challenge of choosing one behavior from several competing options.,True,All vertebrates face the challenge of choosing one cognition from several competing options.,False,Description A,292,PrincipleNeuralScience,1.0
The Basal Ganglia play a role in movement because diseases such as Parkinson and Huntington disease are associated with motor disturbances.,True,The Basal Ganglia play a role in movement because diseases such as Parkinson and Huntington disease are primarily cognitive disturbances.,False,Description A,292,PrincipleNeuralScience,1.0
The Basal Ganglia connections with external structures are characterized by reentrant loops.,True,The Basal Ganglia connections with external structures are characterized by unidirectional pathways.,False,Description A,292,PrincipleNeuralScience,1.0
Attention Deficit Hyperactivity Disorder and Tourette Syndrome may be characterized by intrusions of nonselected options.,True,Attention Deficit Hyperactivity Disorder and Tourette Syndrome may be characterized by suppression of nonselected options.,False,Description A,292,PrincipleNeuralScience,1.0
"The Striatum, Subthalamic Nucleus, and Substantia Nigra Pars Compacta are the three principal input nuclei of the Basal Ganglia.",True,"The Striatum, Subthalamic Nucleus, and Internal Globus Pallidus are the three principal input nuclei of the Basal Ganglia.",False,Description A,292,PrincipleNeuralScience,1.0
Diseases of the Basal Ganglia may involve disorders of selection.,True,Diseases of the Basal Ganglia may involve enhancements of selection processes.,False,Description A,292,PrincipleNeuralScience,1.0
Basal Ganglia output neurons project to external structures that provide input.,True,Basal Ganglia output neurons project exclusively within the Basal Ganglia.,False,Description A,292,PrincipleNeuralScience,1.0
Obsessive-Compulsive Disorder reflects the presence of pathologically dominant options.,True,Obsessive-Compulsive Disorder reflects the suppression of pathologically dominant options.,False,Description A,292,PrincipleNeuralScience,1.0
Reinforcement learning is an inherent property of the Basal Ganglia selection architecture.,True,Reinforcement learning is an external influence on the Basal Ganglia selection architecture.,False,Description A,292,PrincipleNeuralScience,1.0
Schizophrenia may be associated with a general failure to suppress nonselected options.,True,Schizophrenia may be associated with an enhanced ability to suppress nonselected options.,False,Description A,292,PrincipleNeuralScience,1.0
The internal circuitry of the Basal Ganglia regulates how the components interact.,True,The internal circuitry of the Basal Ganglia is irrelevant to how the components interact.,False,Description A,292,PrincipleNeuralScience,1.0
The cochlea is approximately 9 mm across and is embedded within the temporal bone.,True,The cochlea is approximately 20 mm across and is embedded within the temporal bone.,False,Description A,293,PrincipleNeuralScience,1.0
The auricle acts as a reflector to capture sound efficiently and focus it into the external auditory meatus.,True,The auricle acts as an absorber to capture sound efficiently and focus it into the external auditory meatus.,False,Description A,293,PrincipleNeuralScience,1.0
"The auditory ossicles consist of the malleus, incus, and stapes.",True,"The auditory ossicles consist of the malleus, incus, and cochlea.",False,Description A,293,PrincipleNeuralScience,1.0
"Each of the paired cochleae contains approximately 16,000 hair cells.",True,"Each of the paired cochleae contains approximately 1,600 hair cells.",False,Description A,293,PrincipleNeuralScience,1.0
The scala vestibuli is closed by the oval window.,True,The scala vestibuli is closed by the round window.,False,Description A,293,PrincipleNeuralScience,1.0
The external ear is not uniformly effective at capturing sound from all directions.,True,The external ear is uniformly effective at capturing sound from all directions.,False,Description A,293,PrincipleNeuralScience,1.0
The cochlea is a coiled structure of progressively diminishing diameter.,True,The cochlea is a straight structure of progressively increasing diameter.,False,Description A,293,PrincipleNeuralScience,1.0
The basilar membrane separates the cochlear partition from the scala tympani.,True,The basilar membrane separates the cochlear partition from the scala vestibuli.,False,Description A,293,PrincipleNeuralScience,1.0
Hair cells can measure motions of atomic dimensions and transduce stimuli ranging from static inputs to those at frequencies of tens of kilohertz.,True,Hair cells can measure motions of atomic dimensions and transduce stimuli ranging from static inputs to those at frequencies of hundreds of kilohertz.,False,Description A,293,PrincipleNeuralScience,1.0
The malleus is attached to the tympanic membrane.,True,The incus is attached to the tympanic membrane.,False,Description A,293,PrincipleNeuralScience,1.0
"The scala tympani has a basal aperture, the round window.",True,"The scala tympani has a basal aperture, the oval window.",False,Description A,293,PrincipleNeuralScience,1.0
The auricle has a unique topography that affects sound reflections at different frequencies.,True,The auricle has a uniform topography that does not affect sound reflections at different frequencies.,False,Description A,293,PrincipleNeuralScience,1.0
The middle ear is an air-filled pouch connected to the pharynx by the Eustachian tube.,True,The middle ear is a liquid-filled pouch connected to the pharynx by the Eustachian tube.,False,Description A,293,PrincipleNeuralScience,1.0
The stapes is originally a component of the gill support of ancient fish.,True,The incus is originally a component of the gill support of ancient fish.,False,Description A,293,PrincipleNeuralScience,1.0
The organ of Corti is the site of mechanoelectrical transduction in the cochlea.,True,The basilar membrane is the site of mechanoelectrical transduction in the cochlea.,False,Description A,293,PrincipleNeuralScience,1.0
The outer layer of the tympanum is approximately 9 mm in diameter and 50 μm in thickness.,True,The outer layer of the tympanum is approximately 15 mm in diameter and 100 μm in thickness.,False,Description A,293,PrincipleNeuralScience,1.0
"The resting potential of a cell is determined by the proportions of different types of ion channels that are open, together with the value of their equilibrium potentials.",True,"The resting potential of a cell is determined solely by the ion concentrations inside the cell, independent of the equilibrium potentials.",False,Description A,294,PrincipleNeuralScience,1.0
"In a resting cell in which only K+ channels are present, K+ ions are in equilibrium and Vm = EK.",True,"In a resting cell in which only K+ channels are present, Na+ ions are in equilibrium and Vm = ENa.",False,Description A,294,PrincipleNeuralScience,1.0
"The Na+-K+ pump is inhibited by ouabain or digitalis plant alkaloids, an action important in the treatment of heart failure.",True,"The Na+-K+ pump is activated by ouabain or digitalis plant alkaloids, an action important in the treatment of heart failure.",False,Description A,294,PrincipleNeuralScience,1.0
Mutations in ATP1A2 result in familial hemiplegic migraine.,True,Mutations in ATP1A2 result in rapid-onset dystonia parkinsonism.,False,Description A,294,PrincipleNeuralScience,1.0
The Na+-Ca2+ exchanger uses the potential energy of the electrochemical gradient of Na+ to transport Ca2+ out of a cell.,True,The Na+-Ca2+ exchanger uses the potential energy of the electrochemical gradient of Ca2+ to transport Na+ out of a cell.,False,Description A,294,PrincipleNeuralScience,1.0
Cl− is transported into the cell by the Na+-K+-Cl− cotransporter and out of the cell by the K+-Cl− cotransporter.,True,Cl− is transported into the cell by the K+-Cl− cotransporter and out of the cell by the Na+-K+-Cl− cotransporter.,False,Description A,294,PrincipleNeuralScience,1.0
The Na+-Ca2+ exchanger is termed an antiporter because Na+ and Ca2+ are transported in opposite directions.,True,The Na+-Ca2+ exchanger is termed a symporter because Na+ and Ca2+ are transported in the same direction.,False,Description A,294,PrincipleNeuralScience,1.0
Pumps and transporters use the energy of adenosine triphosphate (ATP) hydrolysis to transport ions against their concentration gradient.,True,Pumps and transporters use passive transport to move ions along their concentration gradient.,False,Description A,294,PrincipleNeuralScience,1.0
Calcium pumps transport two Ca2+ ions for each ATP molecule that is hydrolyzed.,True,Calcium pumps transport one Ca2+ ion for each ATP molecule that is hydrolyzed.,False,Description A,294,PrincipleNeuralScience,1.0
"As neurons develop, they begin to express the K+-Cl− cotransporter.",True,"As neurons develop, they stop expressing any Cl− cotransporter.",False,Description A,294,PrincipleNeuralScience,1.0
"In early neuronal development, cells tend to express primarily the Na+-K+-Cl− cotransporter.",True,"In early neuronal development, cells express the K+-Cl− cotransporter exclusively.",False,Description A,294,PrincipleNeuralScience,1.0
"In most mature neurons, GABA typically hyperpolarizes the membrane and acts as an inhibitory neurotransmitter.",True,"In most mature neurons, GABA typically depolarizes the membrane and acts as an excitatory neurotransmitter.",False,Description A,294,PrincipleNeuralScience,1.0
"The increase in depolarization causes voltage-gated Na+ channels to open, accelerating depolarization further.",True,"The increase in depolarization causes voltage-gated Na+ channels to close, halting depolarization.",False,Description A,294,PrincipleNeuralScience,1.0
Chloride transporters use the gradients of other ions as a source of energy.,True,Chloride transporters use direct energy from light photons to transport ions.,False,Description A,294,PrincipleNeuralScience,1.0
The action potential involves a rapid influx of Na+ and subsequent cellular depolarization.,True,The action potential involves a rapid efflux of Na+ and subsequent cellular repolarization.,False,Description A,294,PrincipleNeuralScience,1.0
Intracortically recorded signals from motor cortex were decoded to restore movement via FES in a person with upper spinal cord injury.,True,Intracortically recorded signals from sensory cortex were decoded to restore movement via FES in a person with upper spinal cord injury.,False,Description A,295,PrincipleNeuralScience,1.0
Subjects with paralysis can use sensory feedback delivered by cortical stimulation during BMI control.,True,Subjects without paralysis can use sensory feedback delivered by cortical stimulation during BMI control.,False,Description A,295,PrincipleNeuralScience,1.0
Electrical microstimulation in the primary somatosensory cortex can be used by nonhuman primates to control a cursor on a moment-by-moment basis without vision.,True,Electrical microstimulation in the primary motor cortex can be used by nonhuman primates to control a cursor on a moment-by-moment basis without vision.,False,Description A,295,PrincipleNeuralScience,1.0
"BMI cursor control is more accurate when the arm is passively moved together with the BMI cursor along the same path, rather than along a different path.",True,BMI cursor control is more accurate when the arm is moved along a different path than the BMI cursor path.,False,Description A,295,PrincipleNeuralScience,1.0
BMI-directed movements relying solely on visual feedback are slower and less accurate than normal arm movements.,True,BMI-directed movements relying solely on visual feedback are faster and more accurate than normal arm movements.,False,Description A,295,PrincipleNeuralScience,1.0
BMIs can simplify the brain's input and output interface with the outside world while preserving the complexities of brain processing.,True,BMIs complicate the brain's input and output interface with the outside world and alter the complexities of brain processing.,False,Description A,295,PrincipleNeuralScience,1.0
Cochlear implants provide insight into how the brain processes sounds and speech.,True,Cochlear implants provide insight into how the brain processes short-term memory.,False,Description A,295,PrincipleNeuralScience,1.0
Prosthetic arms controlled by BMI can handle hand configurations with ten degrees of freedom.,True,Prosthetic arms controlled by BMI are limited to two degrees of freedom in hand configurations.,False,Description A,295,PrincipleNeuralScience,1.0
